sehir,semt,ev_tipi,oda_sayisi,net_metrekare,brut_metrekare,bina_yasi,bulundugu_kat,kat_sayisi,banyo_sayisi,balkon,isitma_tipi,otopark,site_ici,esyali_durum,fiyat_tl
Eskişehir,Kadıköy,Daire,4+1,155,177,26-30,2,18,1,Yok,Doğalgaz,Var,Evet,Eşyalı,468443
Mersin,Beyoğlu,Rezidans,4+2,136,161,11-15,13,1,2,Yok,Merkezi,Kapalı Otopark,Evet,Eşyalı,1314224
Ankara,Bahçelievler,Daire,5+1,224,273,30+,1,15,5,Var,Klima,Var,Hayır,Yarı Eşyalı,1381196
Kayseri,Beyoğlu,Rezidans,1+1,91,112,30+,5,3,2,Var,Klima,Kapalı Otopark,Hayır,Yarı Eşyalı,304860
Adana,Beyoğlu,Rezidans,4+1,245,272,26-30,3,18,2,Var,Klima,Açık Otopark,Hayır,Yarı Eşyalı,1141540
Adana,Çankaya,Villa,1+0,361,426,0-5,Bahçe Katı,1,5,Yok,Kombi,Açık Otopark,Hayır,Yarı Eşyalı,3110886
Antalya,Arnavutköy,Tripleks,4+1,341,414,21-25,7,12,2,Var,Soba,Açık Otopark,Evet,Eşyalı,5815240
İzmir,Silivri,Dubleks,1+1,248,291,16-20,9,9,5,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,2310562
İzmir,Zeytinburnu,Daire,4+1,172,215,21-25,15,4,3,Var,Kombi,Kapalı Otopark,Evet,Yarı Eşyalı,2433607
Şanlıurfa,Merkez,Tripleks,5+1,275,303,11-15,15,10,2,Var,Kombi,Var,Evet,Yarı Eşyalı,1094687
Samsun,Beylikdüzü,Villa,2+1,443,571,6-10,Bahçe Katı,2,5,Yok,Kombi,Yok,Hayır,Eşyasız,5102654
Konya,Eminönü,Dubleks,1+1,213,243,11-15,1,19,5,Var,Soba,Yok,Evet,Eşyalı,1371135
Ankara,Çankaya,Müstakil Ev,1+1,251,288,26-30,Bahçe Katı,2,2,Var,Yerden Isıtma,Açık Otopark,Evet,Eşyasız,2514661
Ankara,Silivri,Dubleks,5+1,258,305,30+,12,2,1,Var,Klima,Kapalı Otopark,Evet,Eşyalı,1161513
İzmir,Bakırköy,Villa,4+1,436,501,0-5,Bahçe Katı,2,5,Var,Doğalgaz,Var,Evet,Eşyalı,6142840
Antalya,Bahçelievler,Daire,2+1,94,103,16-20,5,15,3,Yok,Yerden Isıtma,Açık Otopark,Evet,Eşyalı,973101
Kayseri,Arnavutköy,Tripleks,1+0,341,396,0-5,10,16,5,Var,Doğalgaz,Var,Evet,Eşyalı,2731957
Antalya,Bahçelievler,Daire,3+1,137,166,21-25,2,14,5,Yok,Merkezi,Yok,Hayır,Eşyalı,932599
Eskişehir,Pendik,Dubleks,5+1,342,440,0-5,8,20,5,Var,Doğalgaz,Yok,Hayır,Eşyalı,3874053
Şanlıurfa,Kartal,Müstakil Ev,4+1,160,190,21-25,Bahçe Katı,3,3,Var,Yerden Isıtma,Kapalı Otopark,Evet,Eşyalı,461552
Diyarbakır,Beylikdüzü,Villa,4+1,344,420,26-30,Bahçe Katı,2,2,Yok,Soba,Açık Otopark,Hayır,Eşyalı,761688
Bursa,Çankaya,Daire,5+1,278,313,11-15,3,15,5,Yok,Soba,Var,Evet,Eşyalı,3214504
İzmir,Beylikdüzü,Daire,5+1,254,307,16-20,3,2,3,Yok,Doğalgaz,Kapalı Otopark,Evet,Yarı Eşyalı,1735039
Samsun,Beylikdüzü,Dubleks,2+1,210,267,30+,13,6,4,Var,Kombi,Kapalı Otopark,Hayır,Yarı Eşyalı,1011470
Bursa,Şişli,Rezidans,1+1,177,225,30+,8,8,2,Yok,Merkezi,Kapalı Otopark,Evet,Eşyalı,440706
Adana,Maltepe,Daire,4+1,162,198,16-20,11,18,3,Var,Doğalgaz,Kapalı Otopark,Evet,Yarı Eşyalı,1215186
Ankara,Küçükçekmece,Dubleks,5+1,336,422,16-20,10,17,1,Yok,Soba,Yok,Hayır,Eşyalı,3159423
Şanlıurfa,Beylikdüzü,Rezidans,3+1,173,205,26-30,15,11,5,Yok,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,333363
Gaziantep,Çatalca,Müstakil Ev,2+1,169,200,16-20,Bahçe Katı,3,2,Yok,Klima,Var,Hayır,Eşyasız,669621
Kayseri,Büyükçekmece,Müstakil Ev,5+2,233,276,6-10,Bahçe Katı,3,4,Var,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,1700893
Ankara,Kartal,Rezidans,4+1,137,172,6-10,1,2,2,Yok,Soba,Var,Hayır,Eşyasız,1959362
Diyarbakır,Çatalca,Dubleks,5+2,252,289,26-30,12,1,1,Yok,Kombi,Yok,Hayır,Eşyalı,885857
Ankara,Zeytinburnu,Villa,5+2,471,611,21-25,Bahçe Katı,2,4,Yok,Soba,Açık Otopark,Evet,Yarı Eşyalı,6704125
Samsun,Kartal,Rezidans,4+1,213,254,6-10,5,15,1,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,1489366
İzmir,Kartal,Dubleks,2+1,330,377,16-20,7,11,5,Yok,Klima,Var,Evet,Eşyasız,3859029
Diyarbakır,Merkez,Tripleks,4+2,272,299,11-15,5,13,4,Var,Klima,Yok,Hayır,Eşyasız,1219668
Eskişehir,Silivri,Dubleks,2+1,269,345,21-25,9,1,4,Var,Doğalgaz,Açık Otopark,Evet,Eşyasız,940263
Adana,Beyoğlu,Dubleks,5+1,236,295,16-20,5,14,3,Var,Klima,Var,Evet,Eşyasız,1024275
Eskişehir,Çankaya,Daire,3+1,112,141,21-25,3,8,2,Yok,Yerden Isıtma,Var,Evet,Eşyasız,653781
İzmir,Küçükçekmece,Tripleks,1+1,349,441,11-15,2,19,1,Yok,Soba,Açık Otopark,Hayır,Yarı Eşyalı,3102578
Denizli,Büyükçekmece,Villa,1+1,354,449,21-25,Bahçe Katı,1,5,Var,Merkezi,Açık Otopark,Hayır,Eşyalı,1730605
Denizli,Bakırköy,Dubleks,1+1,260,335,26-30,15,15,2,Yok,Kombi,Kapalı Otopark,Hayır,Eşyasız,874987
Bursa,Ataşehir,Villa,1+1,342,436,6-10,Bahçe Katı,2,5,Yok,Merkezi,Var,Hayır,Eşyasız,2614407
Samsun,Maltepe,Müstakil Ev,4+1,272,337,11-15,Bahçe Katı,3,1,Var,Doğalgaz,Yok,Hayır,Eşyasız,1625519
Konya,Büyükçekmece,Rezidans,5+2,194,244,0-5,5,8,4,Var,Merkezi,Kapalı Otopark,Hayır,Yarı Eşyalı,1153511
Diyarbakır,Beylikdüzü,Müstakil Ev,5+1,299,356,11-15,Bahçe Katı,2,2,Var,Yerden Isıtma,Yok,Hayır,Eşyalı,1966050
Diyarbakır,Şişli,Villa,3+1,447,516,21-25,Bahçe Katı,3,5,Yok,Doğalgaz,Yok,Hayır,Eşyalı,1615246
Diyarbakır,Beylikdüzü,Villa,4+1,223,288,21-25,Bahçe Katı,2,2,Yok,Doğalgaz,Var,Hayır,Eşyasız,971479
İstanbul,Maltepe,Dubleks,1+1,166,195,0-5,10,2,2,Var,Soba,Kapalı Otopark,Evet,Eşyalı,2827739
Kayseri,Küçükçekmece,Tripleks,3+1,348,419,16-20,15,15,3,Yok,Merkezi,Var,Evet,Eşyalı,1939928
Ankara,Şişli,Villa,2+1,482,537,0-5,Bahçe Katı,2,4,Yok,Merkezi,Var,Evet,Eşyasız,10068520
Konya,Beşiktaş,Rezidans,3+1,147,184,26-30,10,7,4,Var,Soba,Yok,Evet,Eşyasız,668174
İzmir,Pendik,Tripleks,4+1,262,294,26-30,5,13,3,Yok,Klima,Var,Evet,Eşyasız,3336649
İstanbul,Beşiktaş,Villa,1+0,337,409,30+,Bahçe Katı,1,4,Yok,Merkezi,Yok,Hayır,Yarı Eşyalı,7246201
Konya,Bağcılar,Dubleks,5+1,232,286,30+,3,11,4,Yok,Merkezi,Açık Otopark,Evet,Eşyasız,450349
Ankara,Bahçelievler,Tripleks,1+0,318,405,16-20,7,2,2,Yok,Soba,Açık Otopark,Hayır,Eşyalı,2033405
Şanlıurfa,Pendik,Dubleks,5+2,181,200,26-30,10,8,2,Yok,Soba,Var,Hayır,Eşyalı,370776
Ankara,Zeytinburnu,Daire,2+1,101,129,11-15,9,9,4,Yok,Klima,Yok,Hayır,Yarı Eşyalı,488640
Kayseri,Eminönü,Rezidans,2+1,97,112,30+,14,14,3,Yok,Doğalgaz,Kapalı Otopark,Hayır,Yarı Eşyalı,285393
Denizli,Üsküdar,Dubleks,5+2,238,277,30+,9,13,4,Yok,Kombi,Yok,Hayır,Eşyalı,941692
Adana,Arnavutköy,Dubleks,4+2,248,321,30+,14,5,4,Var,Kombi,Kapalı Otopark,Evet,Eşyasız,660866
İstanbul,Arnavutköy,Villa,4+2,279,311,30+,Bahçe Katı,2,3,Yok,Yerden Isıtma,Var,Hayır,Yarı Eşyalı,5817876
Adana,Büyükçekmece,Rezidans,5+2,218,241,0-5,4,10,2,Var,Klima,Var,Evet,Eşyasız,1111289
İstanbul,Çankaya,Müstakil Ev,1+0,195,228,16-20,Bahçe Katı,1,2,Yok,Soba,Yok,Evet,Eşyalı,2518527
Kayseri,Silivri,Villa,5+2,498,562,16-20,Bahçe Katı,3,3,Yok,Merkezi,Var,Hayır,Eşyasız,3097714
Konya,Bağcılar,Tripleks,4+1,313,404,26-30,5,15,3,Var,Klima,Açık Otopark,Evet,Eşyalı,1146659
Bursa,Çatalca,Müstakil Ev,1+0,288,339,0-5,Bahçe Katı,3,1,Yok,Merkezi,Yok,Hayır,Eşyalı,3514578
